ID;CH01A;CH01B;CH02A;CH02B;CH03A;CH03B;CH04A;CH04B;CH05A;CH05B;CH06A;CH06B;CH07A;CH07B;CH08A;CH08B;CH09A;CH09B;CH10A;CH10B;CH11A;CH11B;CH12A;CH12B;CH13A;CH13B;CH14A;CH14B;CH15A;CH15B;CH16A;CH16B;CH17A;CH17B;CH18A;CH18B
Prunella vulgaris;;;;;;;;;;;;;;;;;1;2;0.06;;0.01;;0.1;0.5;;;5;3.5;;;0.2;;;;5;25
Ranunculus acris;;;3;;;1;0.5;3;0.01;;10;;;;0.5;2;;;0.01;;4;2;;;12;10;;;1;2;0.1;;0.05;1;3;
Ranunculus ficaria;;0.01;0.1;0.1;;;0.5;4;;1;0.05;3;0.1;;0.001;;3;0.5;0.02;;3;8;0.01;0.5;1;3;1;;;;;;;;;
Ranunculus repens;;0.01;0.3;0.1;0.05;;0.5;;;;;;;;0.01;;0.05;6;;;1;;;0.5;;;5;0.5;2;8;0.3;0.0001;0.05;;2;1
Rhinanthus alectorolophus;;;0.001;0.01;;;;;;;;;;;;;;;;;;;;;5;;;;0.1;;;;3;9;;
Rumex acetosa;;;0.001;2;0.1;;;;;;;;;;;;;;;;;1;;;2;0.5;;;0.1;4;;;1;4;;
Rumex acetosella;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;
Rumex obtusifolius;;;;;;;0.1;;;;;;;;;;;;;;0.1;;0.01;;;;0.5;;;;0.01;1;0.0001;0.01;1;
Salix sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000001;;;
Sanguisorba minor;;;;;;;;;;;0.05;1;;;;;0.001;;;;;;;;;;;;;;;;;;;
Senecio vulgaris;;;;;;;;;0.001;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonchus oleraceus;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;
Stellaria media;;;;;;;;;1;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;
Taraxacum officinale aggr.;;1;0.5;5;1;1;2;6;0.05;;5;;9;;5;5;0.6;2;4;0.2;10;1.5;;0.5;3;1;1;;19;5;0.3;0.8;3;15;1;2
Trifolium dubium;;;;;;;;;;;;;;;;;;;;;;;2;0.05;;;10;;;;1;;;;;
Trifolium pratense;;;;1;;;;;;;;2;;10;;5;0.002;;;;2;0.02;;;8;1;;;3;3;;;1;;;
Trifolium repens;20;18;0.5;2;25;10;5;;35;20;7;;;2;;;;0.01;0.008;;;0.02;35;5;;2;10;25;1;6;10;30;1.5;3;;
Trifolium sp.;;;;;;;;;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;
Veronica arvensis;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;0.1;;;;;;
Veronica cf. chamaedrys;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
Veronica chamaedrys;;;0.4;6;;;10;;;;3;;;;;1;0.01;5;;;;;;;;;;0.2;;;;;;;;
Veronica filiformis;;1;0.1;1;;;1;;0.1;;3;;;;;;0.002;2.5;;;0.5;0.001;;;1.5;0.5;;;1;6;;;6;4;;
Veronica officinalis;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;
Veronica persica;;;;;;;;5;;;3;;;;;1;;;;;;;;;;;;0.3;;1.5;;;;;4;0.1
Veronica serpyllifolia;0.1;;;;;;;;0.5;;;;0.01;;;;;;;;;0.01;0.001;0.25;;;10;;;0.1;2;0.0001;;;;0.1
Veronica sp.;;;;;;1;;;;;;;;;;;;;;;;;;0.2;;;;0.2;;;;;;;;
Vicia cracca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;
Vicia sepium;;;0.1;0.1;;;0.1;2;;;;;;;2;1;0.01;0.01;;;0.1;4;;;4;0.01;;;;;;;0.003;;;
