TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
Gentiana frigida,5e5dba9d-4f5c-4a1e-9d8f-10129112e113,Species,EuroMed,4.3,1.7,4,2.2,2.5,2,3.2,2.9,3,8.1,2.2,2,0.6,2.9,3
Gentiana froelichii,3c2b3c25-e1ab-4038-b0f3-7622672b5f63,Species,EuroMed,3.7,2.4,2,2.2,3.1,2,8.7,4.4,2,9.6,2.6,2,1.4,5.6,2
Gentiana froelichii subsp. froehlichii,3c2b3c25-e1ab-4038-b0f3-7622672b5f63,Subspecies,EuroMed,4.0,1.8,1,2.5,2.4,1,9.8,2.2,1,9.8,2.2,1,0.8,2.3,1
Gentiana froelichii subsp. zenarii,fd878682-964d-47ec-b317-9061719c51bf,Subspecies,EuroMed,3.7,2.4,2,2.2,3.1,2,8.7,4.4,2,9.6,2.6,2,1.8,2.5,2
Gentiana ligustica,5cbe7d51-65b7-4573-b01b-ef9cb82d626b,Species,EuroMed,3.6,4.5,3,2.3,3.1,3,8.2,4.5,3,7.2,6.5,3,2.2,5.0,3
Gentiana lutea,d7138894-97f7-482f-a803-5cb1733bfbc5,Species,EuroMed,4.5,3.2,12,2.8,5.9,10,5.0,8.1,8,7.4,4.2,10,2.3,3.7,11
Gentiana lutea subsp. lutea,d7138894-97f7-482f-a803-5cb1733bfbc5,Subspecies,EuroMed,4.3,2.9,6,2.4,4.6,6,4.8,8.8,6,7.4,3.4,6,2.4,3.4,6
Gentiana lutea subsp. symphyandra,f554d14c-e753-45e6-bab0-96bd1b823443,Subspecies,EuroMed,4.0,3.9,3,2.2,3.1,2,5.9,5.7,2,7.9,5.0,2,2.7,4.9,2
Gentiana lutea subsp. vardjanii,ASd1da2a-5961-4fe3-a9f5-fd24346c355c,Subspecies,additionalTaxa,4.0,1.8,1,4.9,2.4,1,7.6,2.2,1,7.6,2.2,1,2.5,4.5,1
Gentiana nivalis,a78c8e2f-fe99-460f-9a84-6c99077f88b3,Species,EuroMed,4.4,2.7,15,3.2,3.8,12,6.7,4.5,12,8.5,3.0,12,1.1,3.6,12
Gentiana occidentalis,02ae5d99-fd17-4e7f-8afe-efb09b857c92,Species,EuroMed,3.9,2.9,3,2.3,3.2,2,7.4,2.7,2,8.8,4.3,2,2.5,2.4,2
Gentiana orbicularis,d65606d5-c90c-4ac5-978b-af9a1ecacee0,Species,EuroMed,4.1,2.9,6,2.4,4.1,5,7.9,2.9,6,8.7,3.6,5,0.9,6.9,6
Gentiana pannonica,1e1c20e3-b312-4fe7-8084-60c0cd1c1c03,Species,EuroMed,4.4,2.2,7,3.1,6.5,5,1.9,6.4,5,7.6,4.3,5,1.8,2.6,5
Gentiana pneumonanthe,bb5bb920-f4ff-4e3c-bc34-5cc71c62d82d,Species,EuroMed,5.9,2.9,25,2.0,4.9,20,5.2,7.3,18,7.6,4.1,18,4.1,2.9,20
Gentiana prostrata,25e9cf8f-e44c-42ef-832d-12da067726df,Species,EuroMed,3.7,2.4,2,4.5,7.8,2,7.6,4.4,2,8.5,4.0,2,0.5,3.3,2
Gentiana pumila,c23afe54-1fcf-4084-a004-f3c69c8b78d4,Species,EuroMed,4.3,4.2,2,2.5,4.2,2,8.5,4.5,2,8.8,4.0,2,1.0,2.7,2
Gentiana pumila subsp. delphinensis,bf285c31-f1fa-4ec6-bd6b-c96d3bbc8d13,Subspecies,EuroMed,4.8,1.8,1,2.5,2.4,1,7.6,4.4,1,7.6,2.2,1,2.5,4.5,1
Gentiana pumila subsp. pumila,c23afe54-1fcf-4084-a004-f3c69c8b78d4,Subspecies,EuroMed,5.6,3.6,1,2.5,2.4,1,9.8,2.2,1,9.8,2.2,1,0.8,4.5,1
Gentiana punctata,6e7375ac-bf14-4f27-8dd7-a66393f22fbe,Species,EuroMed,4.5,2.6,14,2.6,4.8,10,2.6,6.2,12,7.9,4.6,11,1.9,4.5,12
Gentiana punctata aggr.,AG338670-5660-4c2e-b3dd-05c53d546c38,Species Aggregate,additionalAggregates,4.5,4.2,14,2.6,3.9,10,2.5,6.2,11,7.9,6.0,11,1.9,6.7,12
Gentiana purpurea,7884d0d0-adb6-485c-8a03-ddf1ee998f03,Species,EuroMed,4.5,2.8,7,2.0,3.0,5,2.7,4.0,6,7.3,4.2,6,1.7,3.2,6
Gentiana pyrenaica,caf8acb7-5b15-4325-a6e1-a8066af2f6aa,Species,EuroMed,5.1,3.8,4,2.8,7.4,3,5.6,7.7,3,7.9,3.5,3,2.2,3.1,3
