TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
xAegilotriticum triticoides,AScb0382-b98e-4b4d-a0db-96b3e7231a9c,Species,additionalTaxa,4.2,2.5,1,4.2,2.9,1,5.3,2.8,1,9.4,2.8,1,8.2,2.6,1
xAgropogon lutosus,AS80a4af-712b-4acf-b678-b1f74d43ddb4,Species,additionalTaxa,4.9,5.8,2,6.2,2.9,1,7.7,5.3,2,8.2,2.8,1,5.9,2.7,2
xCalammophila baltica,adb99dfe-7c2b-4396-a957-33e56cddd057,Species,EuroMed,3.9,2.0,6,3.7,4.2,6,6.7,6.1,4,8.5,1.4,6,4.2,2.5,4
xDactylocamptis arbostii,AH39611e-a6d5-4c03-a4b0-555324e0f3c2,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,7.2,2.8,1,9.4,2.8,1,4.2,2.6,1
xDactylocamptis boudieri,AHa88058-443f-4f56-884b-bb73bf920387,Species,additionalHybrids,6.8,2.5,1,2.7,2.9,1,6.1,2.8,1,8.2,2.8,1,4.2,2.6,1
xDactylocamptis chassagnei,AHbe215b-677a-442f-84ca-41311c99b8ac,Species,additionalHybrids,5.9,2.5,1,5.1,2.9,1,7.2,2.8,1,8.2,2.8,1,6.1,2.6,1
xDactylocamptis leguei,AHff9bfd-eed6-4ab0-813f-e1b8fe071912,Species,additionalHybrids,5.9,2.5,1,5.1,2.9,1,7.2,2.8,1,8.2,2.8,1,6.1,2.6,1
xDactylocamptis timbaliana,AHd330ef-b166-4e67-8626-a390dcc93433,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,4.9,2.8,1,7.0,2.8,1,4.2,2.6,1
xDactylodenia lebrunii,AHcc5410-4bdf-441d-9dca-ed7d47bed2c7,Species,additionalHybrids,6.8,2.5,1,2.7,2.9,1,6.1,2.8,1,8.2,2.8,1,4.2,2.6,1
xDactylodenia legrandiana,AH6b939d-19c7-4c0c-a79b-2c43e95642c7,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,4.9,2.8,1,7.0,2.8,1,4.2,2.6,1
xDactylodenia wintonii,AS4cac44-b5d2-42e1-92d4-0475430096c3,Species,additionalTaxa,6.8,2.5,1,1.5,2.9,1,7.2,2.8,1,9.4,2.8,1,4.2,2.6,1
xElytrordeum rouxii,AHe8758d-e5ba-4180-90f7-0917bf7acfd3,Species,additionalHybrids,5.0,2.5,1,2.7,2.9,1,8.4,2.8,1,8.2,2.8,1,8.1,2.6,1
xOrchidactyla kromayeri,AHb6f311-30c6-41e5-b502-a3bb44825f12,Species,additionalHybrids,6.8,2.5,1,1.5,2.9,1,4.9,2.8,1,7.0,2.8,1,4.2,2.6,1
xPolygonorumex guinetii,AHfd520c-906a-4999-b007-8a5637ac4f87,Species,additionalHybrids,4.2,2.5,1,8.6,2.9,1,6.1,2.8,1,8.2,2.8,1,4.2,2.6,1
xSchedolium loliaceum,AS4c6132-1548-412e-9092-33185c9d205b,Species,additionalTaxa,4.8,2.9,3,5.8,4.3,2,6.1,7.7,3,8.2,2.8,2,4.1,2.5,2
xTriticosecale rimpaui,AH784182-04f5-461b-82f7-5d2fb5610bf7,Species,additionalHybrids,4.2,2.5,1,6.2,2.9,1,3.8,2.8,1,9.4,2.8,1,4.2,2.6,1
Abies alba,6a8e85bd-5e52-4ae2-9444-99128c87a672,Species,EuroMed,5.2,4.2,18,4.9,7.2,13,5.3,5.7,15,3.0,8.4,15,3.7,3.3,18
Abies alba ? nordmanniana,ASdf96c6-4458-49c2-b4cb-5532ea113b4f,Species,additionalTaxa,4.2,2.5,1,5.1,2.9,1,3.8,2.8,1,7.0,2.8,1,3.2,2.6,1
Abies balsamea,143bdc75-6721-430e-846b-bb78c27a6aae,Species,EuroMed,4.9,6.4,2,5.1,2.9,1,3.8,2.8,1,5.0,10.0,2,3.5,3.5,2
Abies cephalonica,1b4f159e-e44a-4e36-a188-f4a8b09e4fc1,Species,EuroMed,3.3,2.5,1,5.1,2.9,1,6.1,2.8,1,8.2,2.8,1,6.1,2.6,1
Abies concolor,8e470d74-0099-40ba-b066-02293fce547d,Species,EuroMed,4.2,2.5,1,5.1,2.9,1,3.8,2.8,1,7.0,2.8,1,3.2,2.6,1
Abies grandis,204e1cea-0f2b-459c-b61c-801f9658629b,Species,EuroMed,4.2,2.5,1,5.0,3.0,2,3.8,2.8,1,5.3,6.2,2,3.8,3.8,2
Abies lasiocarpa,94331981-b8ba-4cf1-8e4a-3e71baf627a2,Species,EuroMed,4.2,2.5,1,5.1,2.9,1,3.8,2.8,1,7.0,2.8,1,3.2,2.6,1
Abies lowiana,a42b6b4c-89e7-4e3c-aa64-a7fff7832632,Species,EuroMed,4.2,2.5,1,5.1,2.9,1,3.8,2.8,1,7.0,2.8,1,3.2,2.6,1
Abies nebrodensis,a0931cee-32ce-4bdf-8d6d-87555e4e0d20,Species,EuroMed,2.6,2.5,1,3.0,2.9,1,6.5,2.8,1,2.3,2.8,1,5.5,2.6,1
Abies nephrolepis,ATc1cf40-babf-4b3d-818f-cb73d051b957,Species,additionalTaxa,5.0,1.5,1,,,,,,,3.0,6.9,1,4.3,3.0,1
Abies nordmanniana,f16a2d98-2296-46c1-959b-1b032c5c7a2a,Species,EuroMed,4.7,3.0,2,5.2,7.6,2,5.7,10.0,2,5.0,10.0,2,4.2,3.2,2
Abies pinsapo,38baaeaf-f84e-4a9a-8de2-0bdae0e2e244,Species,EuroMed,3.3,2.5,1,3.9,2.9,1,7.2,2.8,1,8.2,2.8,1,6.1,2.6,1
Abies sibirica,095cc78b-405f-4515-870e-800873598616,Species,EuroMed,5.2,2.9,1,,,,,,,3.0,6.9,1,2.8,2.4,1
Abies veitchii,dfdf43fa-d67e-4cda-8927-a86ea41885ed,Species,EuroMed,4.2,2.5,1,5.1,2.9,1,3.8,2.8,1,5.7,2.8,1,3.2,2.6,1
Abutilon theophrasti,008bc70d-6e25-44ea-aae3-7e51258678bf,Species,EuroMed,3.9,4.1,11,6.2,6.3,10,6.5,4.3,10,7.7,3.8,9,6.3,4.3,11
Acacia baileyana,AT0535be-86c3-4a52-aa5c-270f45085858,Species,additionalTaxa,3.3,2.5,1,5.1,2.9,1,6.1,2.8,1,8.2,2.8,1,7.1,2.6,1
Acacia dealbata,0613df61-ca4e-4c4a-8a60-91471599e3de,Species,EuroMed,3.8,3.5,3,4.3,6.6,3,5.6,5.1,3,8.4,3.7,3,7.0,2.8,3
Acacia karroo,66971cff-745b-42f1-9f3d-48779b6dc514,Species,EuroMed,3.3,2.5,1,5.1,2.9,1,6.1,2.8,1,8.2,2.8,1,7.1,2.6,1
Acacia longifolia,2ff197de-9ee1-488f-8eb9-959162f8d9b3,Species,EuroMed,5.0,2.5,1,3.0,2.9,1,5.3,2.8,1,9.4,2.8,1,8.2,2.6,1
Acacia mearnsii,4ba7f7cd-5d96-4a7b-961a-2ccff658c0db,Species,EuroMed,4.2,4.2,2,4.0,4.9,2,5.7,3.6,2,8.8,4.0,2,7.6,3.8,2
Acacia melanoxylon,e7ffe8b1-9b1c-42b5-9cec-89548cd36cfc,Species,EuroMed,4.2,4.2,2,4.0,4.9,2,5.7,3.6,2,8.8,4.0,2,7.6,3.8,2
Acacia pycnantha,7563f7fb-7443-4b4c-922b-135bb2991874,Species,EuroMed,4.2,4.2,2,4.0,4.9,2,5.7,3.6,2,8.8,4.0,2,7.6,3.8,2
Acacia retinodes,9120b04d-22d3-4531-8000-ad19748b664a,Species,EuroMed,3.3,2.5,1,5.1,2.9,1,6.1,2.8,1,8.2,2.8,1,7.1,2.6,1
Acacia retinoides,ATc4d678-56a9-4cad-9689-eb877a919946,Species,additionalTaxa,4.2,2.5,1,5.3,2.9,1,6.5,2.8,1,8.2,2.8,1,6.4,2.6,1
Acacia saligna,48fcdd35-ebd4-4af3-a983-964e2cd9f874,Species,EuroMed,4.2,4.2,2,4.0,4.9,2,5.7,3.6,2,8.8,4.0,2,7.6,3.8,2
Acaena novae-zelandiae,be1f185e-b38e-4580-ac82-d3beca6dd3c7,Species,EuroMed,2.7,2.5,1,3.0,2.9,1,5.8,2.8,1,8.2,2.8,1,,,
Acalypha australis,cb5ac098-bcd3-413b-b639-4115a8ba9c77,Species,EuroMed,3.4,2.5,1,10.0,2.9,1,6.5,2.8,1,8.2,2.8,1,6.4,2.6,1
Acalypha virginica,f2a46206-e22a-47ab-8ddd-f107c9baf539,Species,EuroMed,4.1,3.7,2,6.3,7.5,2,5.4,2.3,2,7.3,2.8,2,6.1,3.4,2
Acantholimon ulicinum,01a0dc89-e6ac-4665-88ba-2d472290e8a4,Species,EuroMed,2.8,4.1,1,3.6,2.3,1,7.0,2.7,1,9.8,2.3,1,4.9,2.1,1
Acanthophyllum pungens,ATb98200-1d59-422e-87e8-5ca679bfa8a1,Species,additionalTaxa,0.8,1.0,1,,,,,,,,,,,,
Acanthus hungaricus,9b62684f-1116-4604-b2d5-456bf297df09,Species,EuroMed,2.2,2.0,1,,,,7.4,2.0,1,,,,4.9,2.3,1
Acanthus mollis,d988b563-91a7-4346-a02b-0e6f45e1354f,Species,EuroMed,3.3,2.9,3,7.8,3.5,3,6.8,4.7,3,5.7,4.1,3,6.7,2.8,3
Acanthus spinosus,0f1fa42d-1081-4829-ae3a-a9c6657c6605,Species,EuroMed,2.7,4.4,2,5.6,5.2,2,6.5,10.0,2,7.8,3.1,2,8.1,4.4,2
Acer ?coriaceum,AH2b8230-fa35-4ee8-8fa5-efcd064cd6ac,Species,additionalHybrids,4.2,2.5,1,5.1,2.9,1,6.1,2.8,1,8.2,2.8,1,6.1,2.6,1
Acer ?hybridum,AHfd7a38-c630-4ff9-b8b4-2d623030f49c,Species,additionalHybrids,3.3,2.5,1,5.1,2.9,1,7.2,2.8,1,7.0,2.8,1,6.1,2.6,1
Acer ?peronai,AH530c5c-3692-454c-98d4-6b33f120aa5c,Species,additionalHybrids,3.3,2.5,1,5.1,2.9,1,7.2,2.8,1,7.0,2.8,1,6.1,2.6,1
Acer campestre,960ff0e5-e8f8-4b8b-952e-974bf6b48cc2,Species,EuroMed,4.2,2.8,24,5.8,4.9,19,6.8,4.2,21,5.0,6.1,18,5.0,3.1,20
Acer cappadocicum,2e723f88-94c6-4884-a868-e58b76b323ae,Species,EuroMed,4.2,2.5,1,6.2,2.9,1,6.1,2.8,1,7.0,2.8,1,4.2,2.6,1
Acer ginnala,bb88dff3-1091-4a1a-a8a7-bbcf5b522e3a,Species,EuroMed,4.7,1.0,1,,,,,,,5.1,8.3,1,4.3,1.8,1
Acer granatense,28831f4f-5e01-4152-bf67-651b44149d12,Species,EuroMed,3.3,2.5,1,5.1,2.9,1,7.2,2.8,1,7.0,2.8,1,6.1,2.6,1
Acer heldreichii,bae09997-b6f6-4768-a623-dfec4bf4a7fc,Species,EuroMed,4.7,2.5,1,5.5,2.9,1,5.9,2.8,1,3.5,2.8,1,3.9,2.6,1
Acer hyrcanum subsp. intermedium,ad3ca4c5-dae9-4e3b-806c-2903d8c46142,Subspecies,EuroMed,4.7,2.5,1,5.5,2.9,1,3.9,2.8,1,3.5,2.8,1,3.9,2.6,1
Acer hyrcanum subsp. stevenii,3ce9b259-5ddc-4ba2-b26d-f47637af1c5b,Subspecies,EuroMed,4.6,3.6,1,5.2,6.6,1,6.1,4.5,1,3.8,5.7,1,4.8,0.6,1
Acer lobelii,d0c2248d-0ba1-4570-b36a-f0f1da3fd3d9,Species,EuroMed,2.6,2.5,1,4.2,2.9,1,8.8,2.8,1,5.9,2.8,1,6.4,2.6,1
Acer monspessulanum,12709da0-5ac8-4275-9a03-0598459cb132,Species,EuroMed,2.9,2.5,7,3.7,3.6,6,7.9,3.7,7,5.7,2.6,6,6.1,3.4,7
Acer monspessulanum subsp. loscosii,70524c9f-c0f3-4ab9-beb1-34d7fc40c656,Subspecies,EuroMed,3.3,2.5,1,5.1,2.9,1,7.2,2.8,1,8.2,2.8,1,7.1,2.6,1
Acer monspessulanum subsp. monspessulanum,12709da0-5ac8-4275-9a03-0598459cb132,Subspecies,EuroMed,3.3,2.5,1,5.1,2.9,1,7.2,2.8,1,8.2,2.8,1,7.1,2.6,1
Acer negundo,fcc48b38-1691-4e2d-9489-22930ffcb24e,Species,EuroMed,5.1,3.1,16,6.7,4.9,14,6.6,3.8,13,5.4,6.1,14,4.9,3.5,15
Acer obtusatum,46a49a92-ce91-4bf3-b225-d8f30f7f0949,Species,EuroMed,3.8,3.5,2,3.9,2.9,1,7.2,2.8,1,8.2,2.8,1,7.1,2.6,1
Acer obtusatum subsp. neapolitanum,51ab8fbe-f447-468a-93c5-27a349be065f,Subspecies,EuroMed,4.2,2.5,1,6.5,2.9,1,5.3,2.8,1,3.5,2.8,1,2.8,2.6,1
Acer obtusatum subsp. obtusatum,46a49a92-ce91-4bf3-b225-d8f30f7f0949,Subspecies,EuroMed,5.0,2.5,1,7.7,2.9,1,7.6,2.8,1,4.7,2.8,1,3.7,2.6,1
Acer opalus,4a75b5cd-2c06-4ad5-a17a-f8b1c536e153,Species,EuroMed,3.4,2.3,4,5.7,3.8,4,8.0,3.4,4,5.4,4.2,4,6.2,2.8,4
Acer opalus aggr.,4a75b5cd-2c06-4ad5-a17a-f8b1c536e153,Species Aggregate,EuroMed,3.6,3.3,5,5.7,4.3,4,7.8,3.6,4,5.3,4.9,4,6.2,3.1,4
Acer palmatum,e925ab68-aa08-43b7-8277-86f5869de43c,Species,EuroMed,4.2,2.5,1,6.2,2.9,1,6.1,2.8,1,7.0,2.8,1,3.2,2.6,1
Acer pictum subsp. mono,AS9e97a8-9908-4385-8b9c-0c3100b05314,Subspecies,additionalTaxa,5.2,2.0,1,,,,,,,3.0,6.9,1,4.3,3.0,1
Acer platanoides,a3f8eb43-4a2c-469e-9e5a-9821d6e4226b,Species,EuroMed,4.7,3.7,20,5.7,6.9,13,6.3,5.0,16,3.9,6.5,17,4.4,2.5,18
Acer pseudoplatanus,4fd5b4a0-288f-4ff5-b4ed-ab32d5271bdb,Species,EuroMed,5.1,3.2,24,6.9,4.8,19,5.9,5.3,18,3.8,6.1,18,4.2,4.2,17
Acer rubrum,712680b8-af79-4869-9ba4-a0c718f23345,Species,EuroMed,4.7,4.3,3,5.4,6.2,2,5.3,4.5,2,4.8,8.6,3,4.6,7.5,3
Acer saccharinum,6d883889-0f6e-462c-863e-04c0275efdab,Species,EuroMed,4.5,2.4,2,5.0,2.5,2,5.2,2.7,2,5.3,8.8,3,5.0,4.6,3
Acer saccharum,d263efd7-488c-48e0-b076-70ef156ad791,Species,EuroMed,5.5,3.4,1,,,,,,,3.0,6.9,1,5.5,3.0,1
Acer semenovii,7e66a38b-99dc-4b5b-88fb-20e7554935f7,Species,EuroMed,3.3,2.0,1,,,,,,,5.1,5.6,1,5.8,2.4,1
Acer sempervirens,fe42779c-b75f-41d5-92cd-359e6535f875,Species,EuroMed,3.7,4.1,1,3.6,2.3,1,7.0,2.7,1,5.1,2.3,1,6.4,4.1,1
Acer tataricum,9d434fb2-c669-484d-a2aa-6a718e848679,Species,EuroMed,3.9,3.4,10,4.1,7.8,6,7.0,3.8,7,5.2,9.8,5,5.3,3.2,9
Acer tegmentosum,AT73064f-4b5e-4c7f-a655-41c29a584156,Species,additionalTaxa,4.7,1.0,1,,,,,,,3.0,6.9,1,4.0,1.2,1
Acer trautvetteri,15a3ed74-eaea-425d-bc68-a64732fb460d,Species,EuroMed,5.2,4.0,2,6.5,2.9,1,4.3,2.8,1,6.3,10.0,2,3.9,3.9,2
Acer ukurunduense,ATd71fc0-2c70-4f2c-a17c-103930f1b4a0,Species,additionalTaxa,5.0,1.5,1,,,,,,,3.0,6.9,1,4.9,4.3,1
Acer velutinum,f4a3881e-8639-4a4f-92f0-839adfeaf21e,Species,EuroMed,5.7,1.0,1,,,,,,,3.0,6.9,1,5.5,1.8,1
Achillea ageratum,b1c5dcf9-5696-406d-8f2d-49726ad7c838,Species,EuroMed,5.5,2.5,3,4.3,5.4,3,6.0,3.1,3,8.0,2.7,3,6.7,2.8,3
Achillea asiatica,6b73c741-40a1-4b4e-baa7-cfa968fbb1e6,Species,EuroMed,4.0,4.4,1,,,,,,,7.1,4.2,1,3.4,3.6,1
Achillea aspleniifolia,b669d190-b074-4f33-8260-62f2dd63c706,Species,EuroMed,5.1,2.9,9,3.0,5.7,6,7.0,3.1,8,8.0,2.5,5,5.1,2.7,8
Achillea atrata,c14e1694-58a0-435e-b62e-031a5ab71bb2,Species,EuroMed,4.5,2.4,5,3.0,2.8,5,9.0,3.8,5,9.6,2.7,5,0.7,3.4,5
Achillea atrata aggr.,AGf0b71f-d8af-424b-986f-2a30dc8d02f3,Species Aggregate,additionalAggregates,4.6,2.3,2,2.8,2.9,2,9.0,3.8,2,9.6,2.6,2,0.9,4.6,2
Achillea barrelieri subsp. barrelieri,050de873-6656-4e96-ad77-657aa3a2c5dd,Subspecies,EuroMed,1.8,2.5,1,0.6,2.9,1,7.6,2.8,1,9.4,2.8,1,1.9,2.6,1
Achillea barrelieri subsp. mucronulata,ec2d00b6-b915-49c0-a59d-4b781875c22e,Subspecies,EuroMed,1.8,2.5,1,0.6,2.9,1,7.6,2.8,1,9.4,2.8,1,2.8,2.6,1
Achillea biserrata,e2dc39b3-9b6a-4100-90a1-5b3b75654585,Species,EuroMed,4.4,2.5,1,4.9,2.9,1,5.7,2.8,1,5.5,2.8,1,2.5,2.6,1
Achillea carpatica,9e670d0a-5542-473e-998f-30ae47f79f71,Species,EuroMed,4.6,2.6,1,3.6,7.7,1,4.2,3.7,1,7.4,4.2,1,2.6,1.3,1
Achillea clavennae,27482450-e9e6-46e1-8216-daf654206e49,Species,EuroMed,3.5,3.4,5,3.0,2.8,5,8.7,4.1,5,9.1,3.8,5,1.4,3.8,5
Achillea clusiana,5f13bfe8-401e-431a-8eee-deef08d1abb1,Species,EuroMed,4.5,2.4,3,2.9,2.8,3,9.5,2.7,3,9.5,2.6,3,0.9,2.5,3
Achillea clypeolata,489ac214-b0ca-4d72-abbb-8fbedb68feae,Species,EuroMed,3.5,4.5,2,3.2,2.9,1,8.2,5.5,2,7.8,2.8,1,4.8,4.2,2
Achillea coarctata,6fb3a58e-9b20-47c2-84b4-3085ce78070d,Species,EuroMed,2.2,2.0,1,,,,6.4,2.0,1,,,,4.9,2.3,1
Achillea collina,f0eac0d9-475b-4ceb-91db-b598bdec54c6,Species,EuroMed,2.6,3.0,15,2.7,4.0,12,6.8,4.6,13,8.6,3.5,11,4.8,2.7,14
Achillea cretica,c670a7e6-b736-43ba-8fb6-5210daf87861,Species,EuroMed,2.0,4.1,1,5.9,2.3,1,8.4,2.7,1,8.6,2.3,1,8.0,2.1,1
Achillea crithmifolia,a10a2c86-9bd4-4ba4-a2ac-7992778c41b9,Species,EuroMed,3.7,2.8,7,4.1,5.6,5,5.4,4.5,6,8.1,2.1,5,5.4,2.5,6
Achillea distans,34190c61-9479-4e90-85c8-72b7cee62651,Species,EuroMed,3.8,2.3,6,4.1,4.3,3,6.4,3.3,5,6.9,2.9,2,4.1,3.9,5
Achillea distans subsp. alpina,54f9c7d3-5963-4b42-889f-7befe6c1660a,Subspecies,EuroMed,3.7,2.0,1,,,,5.4,2.0,1,,,,2.3,2.3,1
Achillea distans subsp. distans,34190c61-9479-4e90-85c8-72b7cee62651,Subspecies,EuroMed,4.0,3.0,4,5.1,8.2,3,5.8,4.0,4,6.5,3.7,3,3.1,3.8,4
Achillea distans subsp. stricta,70c6ad36-c23b-4653-af2d-fd336bc4cbc6,Subspecies,EuroMed,4.2,2.6,8,4.7,5.3,6,5.1,3.4,7,7.2,4.0,5,2.4,3.5,7
Achillea distans subsp. tanacetifolia,e98e4d0a-7af2-402a-a6c7-2f9c0cda0e36,Subspecies,EuroMed,4.7,2.5,1,3.2,2.9,1,5.9,2.8,1,5.7,2.8,1,2.6,2.6,1
Achillea erba-rotta,ASdc0d9b-cffc-4b2a-9b8b-ea26e027c83f,Species,additionalTaxa,4.4,2.7,1,2.5,2.4,1,3.2,2.2,1,9.8,2.2,1,0.0,4.5,1
Achillea erba-rotta subsp. erba-rotta,287a8966-485c-4aca-b9ff-43ec74b0609d,Subspecies,EuroMed,3.7,4.0,2,2.2,3.1,2,2.5,3.6,2,9.6,2.6,2,0.5,3.3,2
Achillea erba-rotta subsp. moschata,c6c8a434-0ab2-4363-84c7-4858d0e49a7b,Subspecies,EuroMed,4.6,3.4,4,1.8,3.7,4,2.4,3.3,4,9.5,2.6,4,0.3,3.2,4
Achillea euxina,043dddf5-1a4e-4aac-9340-b2f9a06a7893,Species,EuroMed,3.5,3.6,1,5.2,6.6,1,6.1,4.5,1,8.8,1.4,1,5.5,0.6,1
Achillea filipendulina,1f4262fb-c381-4889-a799-1c3e4c0a252f,Species,EuroMed,4.3,4.4,2,4.4,5.7,2,6.9,3.6,2,7.5,2.4,2,5.5,2.9,2
Achillea glaberrima,5ac1e6df-acaa-45b3-a2fe-c5f58a9b2743,Species,EuroMed,3.5,4.7,1,3.6,5.5,1,6.4,5.2,1,8.8,1.4,1,4.8,0.6,1
Achillea impatiens,88a47eff-9dee-48c2-a097-c57b919ef409,Species,EuroMed,5.2,2.0,1,,,,4.4,2.0,1,,,,3.2,2.3,1
Achillea inundata,55f2daae-af01-44bb-a36d-dbae1805226f,Species,EuroMed,5.3,3.1,1,5.2,6.6,1,5.7,2.2,1,8.1,2.8,1,4.5,1.3,1
Achillea leptophylla,f6459f6a-eb93-422f-aabb-609d85895425,Species,EuroMed,1.4,3.4,3,4.7,3.3,1,7.1,3.1,2,8.8,1.4,1,4.9,2.2,2
Achillea ligustica,59fd8ef5-e08e-4dbc-8e0e-ae260994ced1,Species,EuroMed,3.0,5.2,3,4.7,3.1,3,5.6,4.6,4,7.6,3.1,3,6.9,4.1,4
Achillea lingulata,1c290e93-7ebf-42c6-87b1-2b0a90ca092e,Species,EuroMed,3.9,3.2,2,5.5,2.9,1,4.7,4.5,2,7.8,2.8,1,2.7,4.8,2
Achillea macrophylla,c0647628-98f5-4987-8b9a-bc6d3a3034f7,Species,EuroMed,5.0,2.2,5,8.2,3.7,5,6.2,3.8,5,5.9,3.3,5,1.2,2.9,5
Achillea maritima,6eee531c-0914-4757-8e09-704b70518d48,Species,EuroMed,2.7,4.2,5,4.4,6.0,5,6.0,6.1,5,9.1,4.0,5,6.9,4.5,4
Achillea maritima subsp. atlantica,f80983a8-4209-439a-9736-b61ff6edd091,Subspecies,EuroMed,4.2,2.5,1,5.1,2.9,1,7.2,2.8,1,9.4,2.8,1,4.2,2.6,1
Achillea maritima subsp. maritima,e6428dd6-2e96-49cc-a64d-c5d6ac995086,Subspecies,EuroMed,4.2,2.5,1,5.1,2.9,1,7.2,2.8,1,9.4,2.8,1,7.1,2.6,1
Achillea micrantha,f1573a61-d111-4815-9901-6caef1d7cffb,Species,EuroMed,2.4,3.6,3,2.5,5.5,1,5.7,6.7,1,8.0,3.1,2,5.5,1.9,2
Achillea micranthoides,0303d7df-bb7b-4a00-ba39-553629a1af8f,Species,EuroMed,2.7,2.1,1,4.7,3.3,1,9.0,1.5,1,8.8,1.4,1,5.5,0.6,1
Achillea millefolium,041a498c-34cb-439b-8baa-cc99d20cf4ca,Species,EuroMed,3.8,3.8,23,5.0,4.7,17,5.5,6.7,16,7.4,4.9,17,3.4,6.3,14
Achillea millefolium aggr.,AG410a39-55c2-4b35-ad77-f48fe0ba1f8f,Species Aggregate,additionalAggregates,3.6,4.4,28,4.1,6.6,21,6.0,6.1,21,7.7,4.2,20,4.1,5.0,21
Achillea millefolium subsp. millefolium,041a498c-34cb-439b-8baa-cc99d20cf4ca,Subspecies,EuroMed,4.1,2.8,4,5.1,3.1,3,6.3,5.4,4,7.2,3.7,3,3.9,6.1,4
Achillea millefolium subsp. sudetica,cf1fd385-98e6-4083-8c58-9eb4add7cc5b,Subspecies,EuroMed,4.2,2.5,6,5.1,2.7,3,5.8,4.8,4,7.3,2.9,4,2.4,5.1,5
Achillea nana,f6fd3f27-abd5-4860-b912-d909352f0981,Species,EuroMed,4.6,3.4,4,1.8,3.7,4,5.0,4.7,4,8.9,3.7,4,0.0,2.5,4
Achillea nobilis,8d443b03-07a4-4a85-b950-5c3df3e477b4,Species,EuroMed,3.3,3.3,13,1.6,5.3,9,7.8,3.8,11,8.0,4.0,8,5.2,2.7,11
Achillea nobilis aggr.,AG1c3d93-5e9c-453b-91d1-c8d1dcdff8d9,Species Aggregate,additionalAggregates,3.2,4.6,16,2.1,7.3,12,7.4,6.5,15,7.9,3.3,11,5.3,8.5,15
Achillea nobilis subsp. neilreichii,b9d68098-22ff-4876-9fd3-6e9b71e93d2e,Subspecies,EuroMed,2.9,3.1,4,2.4,6.2,3,7.9,3.9,4,8.0,3.0,3,5.4,2.8,4
Achillea nobilis subsp. nobilis,8d443b03-07a4-4a85-b950-5c3df3e477b4,Subspecies,EuroMed,3.0,3.9,2,3.3,5.0,2,7.2,3.4,2,7.9,3.0,2,5.2,4.3,2
Achillea ochroleuca,dcfbc197-9577-4991-9fbd-0eba45ec80fe,Species,EuroMed,2.8,2.9,6,2.0,5.9,4,7.0,3.7,5,8.6,2.5,3,5.4,2.1,5
Achillea odorata,5a256e0c-5ae7-44b4-8890-c3693471293b,Species,EuroMed,2.5,2.0,2,2.2,3.1,2,7.9,2.7,2,7.8,2.5,2,4.3,2.6,2
Achillea oxyloba,d9111319-914b-40f6-9776-d3a46ec960e2,Species,EuroMed,4.5,2.3,3,2.5,3.4,3,8.6,4.0,3,8.8,4.7,3,1.2,3.2,3
Achillea oxyloba subsp. schurii,ASde61e1-4b99-4a10-a0d1-d016753495b8,Subspecies,additionalTaxa,5.2,2.0,1,,,,4.4,2.0,1,,,,2.3,2.3,1
Achillea pannonica,8f3bbd5f-48fe-4426-814f-65380eabf5db,Species,EuroMed,3.1,2.6,15,2.8,4.4,11,6.7,4.8,14,7.7,3.3,11,5.3,2.6,14
Achillea pratensis,a3c71456-7a3b-434d-8056-876ef4afee5e,Species,EuroMed,4.5,2.5,3,5.9,3.8,3,5.2,2.8,3,7.2,2.9,3,3.8,2.7,3
Achillea pseudopectinata,b297e73f-b9eb-4e19-be54-841668d88c92,Species,EuroMed,2.2,2.0,1,,,,6.4,6.0,1,,,,5.8,2.3,1
Achillea ptarmica,f13a6192-e37f-4534-89cf-f58e5f3dd226,Species,EuroMed,6.2,3.1,21,3.3,5.5,17,4.0,4.1,18,7.5,4.4,15,4.1,4.4,14
Achillea ptarmica aggr.,f13a6192-e37f-4534-89cf-f58e5f3dd226,Species Aggregate,EuroMed,5.9,2.6,2,3.9,2.9,1,3.8,2.8,1,8.2,2.8,1,4.3,1.9,2
Achillea ptarmicifolia,31579510-9f6d-474f-a5fa-2161cf5fd369,Species,EuroMed,3.1,2.5,1,3.3,2.9,1,7.1,2.8,1,7.5,2.8,1,2.5,2.6,1
Achillea pyrenaica,a842d23f-04f8-4feb-a805-d39b09ff5c94,Species,EuroMed,5.6,4.8,2,2.7,2.9,1,2.6,2.8,1,8.2,2.8,1,2.3,2.6,1
Achillea roseoalba,55b8a75f-4e27-4b1f-a53f-1dc5010a49fd,Species,EuroMed,3.6,3.5,4,6.0,7.6,4,6.5,3.6,4,7.7,3.1,4,4.7,3.5,5
Achillea rupestris subsp. lucana,9ab0d4a5-e099-4a3b-85ea-138aa38803b1,Subspecies,EuroMed,1.8,2.5,1,0.6,2.9,1,7.6,2.8,1,7.0,2.8,1,3.7,2.6,1
